date,amount,category,description
20-07-2024,125.65,Income,Salary
22-07-2024,125.0,Income,Side Gig
14-07-2024,200.0,Income,Salary
15-02-2024,25.00,Expense,Dinner at a local restaurant
20-02-2024,150.00,Expense,New pair of jeans
22-02-2024,80.00,Expense,Water bill for February
01-03-2024,55.00,Expense,Weekly grocery shopping
05-03-2024,35.00,Expense,Tickets to a museum exhibition
10-03-2024,90.00,Expense,Car maintenance and oil change
15-03-2024,200.00,Expense,Online course subscription
20-03-2024,75.00,Expense,Lunch with a client
01-04-2024,65.00,Expense,Weekly grocery shopping
07-07-2024,500,Income,Bonus
09-07-2024,250,Income,Stock Dividends
18-07-2024,250,Income,Freelance Work
20-04-2024,100.00,Expense,Prescription medication
01-05-2024,70.00,Expense,Weekly grocery shopping
05-05-2024,50.00,Expense,Breakfast at a cafe
10-05-2024,150.00,Expense,New shoes
21-07-2024,600,Income,Bonus
29-07-2024,1200,Income,Salary
01-06-2024,605.00,Income,Gift allowances
05-06-2024,60.00,Expense,Gas for the car
10-06-2024,200.00,Expense,Monthly rent payment
15-06-2024,700.00,Income,Bonus
20-06-2024,90.00,Expense,Dental check-up and cleaning
18-07-2024,130.0,Income,Paid Survey
